Country,Year,ISO_code,Population,GDP,Biofuel_consumption,Biofuel_electricity,Biofuel_share_elec,Biofuel_share_energy,Coal_consumption,Coal_electricity,coal_production,Coal_share_elec,Coal_share_energy,Electricity_share_energy,Energy_cons_change_pct,Energy_per_capita,Energy_per_gdp,Fossil_electricity,fossil_fuel_consumption,Fossil_share_elec,Fossil_share_energy,gas_consumption,Gas_electricity,Gas_production,Gas_share_elec,Gas_share_energy,hydro_consumption,Hydro_electricity,Hydro_share_elec,Hydro_share_energy,low_carbon_consumption,Low_carbon_share_elec,Low_carbon_share_energy,Nuclear_consumption,Nuclear_electricity,Nuclear_share_elec,Nuclear_share_energy,oil_consumption,oil_electricity,oil_production,Oil_share_elec,Oil_share_energy,Primary_energy_consumption,renewables_consumption,Renewables_electricity,Renewables_share_elec,Renewables_share_energy,solar_consumption,Solar_electricity,Solar_share_elec,Solar_share_energy,wind_consumption,Wind_electricity,Wind_share_elec,wind_share_energy
Algeria,2000,DZA,30903894,208554150552,0,0,0,0,5.641,0,0,0,1.881,8.471,-3.689,9705.756,1.438,25.35,299.786,99.803,99.95,191.013,24.58,918.886,96.772,63.685,0.15,0.05,0.197,0.05,0.15,0.197,0.05,0,0,0,0,103.132,0.77,776.733,3.031,34.385,299.946,0.15,0.05,0.197,0.05,0,0,0,0,0,0,0,0
Algeria,2001,DZA,31331226,223420294027,0,0,0,0,6.513,0,0,0,2.095,8.568,3.623,9920.229,1.391,26.55,310.61,99.737,99.939,197.322,25.78,864.725,96.844,63.488,0.191,0.07,0.263,0.061,0.191,0.263,0.061,0,0,0,0,106.775,0.77,764.684,2.893,34.355,310.813,0.191,0.07,0.263,0.061,0,0,0,0,0,0,0,0
Algeria,2002,DZA,31750832,245360923720,0,0,0,0,8.548,0,0,0,2.655,8.591,3.583,10139.907,1.312,27.59,321.784,99.783,99.951,194.839,26.99,889.416,97.613,60.52,0.156,0.06,0.217,0.049,0.156,0.217,0.049,0,0,0,0,118.397,0.6,824.497,2.17,36.776,321.951,0.156,0.06,0.217,0.049,0,0,0,0,0,0,0,0
Algeria,2003,DZA,32175813,273568638765,0,0,0,0,7.048,0,0,0,2.092,8.79,4.65,10471.285,1.232,29.31,336.154,99.121,99.786,205.932,28.62,938.576,96.787,61.13,0.722,0.26,0.879,0.214,0.722,0.879,0.214,0,0,0,0,123.174,0.69,918.828,2.333,36.564,336.922,0.722,0.26,0.879,0.214,0,0,0,0,0,0,0,0
Algeria,2004,DZA,32628286,296773569597,0,0,0,0,8.408,0,0,0,2.404,8.946,3.816,10720.079,1.179,31,349.055,99.2,99.806,211.899,30.31,920.549,96.992,60.589,0.68,0.25,0.8,0.194,0.68,0.8,0.194,0,0,0,0,128.747,0.69,971.698,2.208,36.813,349.778,0.68,0.25,0.8,0.194,0,0,0,0,0,0,0,0
Algeria,2005,DZA,33109258,326854481030,0,0,0,0,6.908,0,0,0,1.887,9.285,4.715,11062.512,1.121,33.36,364.681,98.378,99.592,223.56,32.64,849.117,96.255,61.053,1.493,0.55,1.622,0.408,1.493,1.622,0.408,0,0,0,0,134.213,0.72,1005.27,2.123,36.653,366.272,1.493,0.55,1.622,0.408,0,0,0,0,0,0,0,0
Algeria,2006,DZA,33623505,345705309468,0,0,0,0,10.258,0,0,0,2.705,9.3,3.535,11278.422,1.097,35.01,378.601,99.376,99.847,228.497,34.26,812.995,97.247,60.261,0.582,0.22,0.624,0.153,0.582,0.624,0.153,0,0,0,0,139.846,0.75,1002.529,2.129,36.881,379.22,0.582,0.22,0.624,0.153,0,0,0,0,0,0,0,0
Algeria,2007,DZA,34189420,371665260161,0,0,0,0,8.804,0,0,0,2.203,9.316,5.385,11688.989,1.075,36.97,399.001,99.408,99.85,233.807,36.18,816.46,97.284,58.51,0.601,0.22,0.592,0.15,0.601,0.592,0.15,0,0,0,0,156.39,0.79,1005.786,2.124,39.136,399.64,0.601,0.22,0.592,0.15,0,0,0,0,0,0,0,0
Algeria,2008,DZA,34816963,395658515586,0,0,0,0,8.804,0,0,0,2.079,9.51,5.985,12165.246,1.071,39.95,422.762,99.304,99.824,244.042,39.16,826.008,97.34,57.624,0.747,0.28,0.696,0.176,0.747,0.696,0.176,0,0,0,0,169.916,0.79,985.771,1.964,40.121,423.557,0.747,0.28,0.696,0.176,0,0,0,0,0,0,0,0
Algeria,2009,DZA,35490442,418247711085,0,0,0,0,5.652,0,0,0,1.259,8.59,5.974,12647.33,1.073,38.2,447.904,99.221,99.8,262.118,37.59,765.669,97.636,58.404,0.898,0.3,0.779,0.2,0.898,0.779,0.2,0,0,0,0,180.134,0.61,898.231,1.584,40.137,448.859,0.898,0.3,0.779,0.2,0,0,0,0,0,0,0,0
Algeria,2010,DZA,36188237,450705801593,0,0,0,0,3.605,0,0,0,0.821,10.425,-2.198,12130.873,0.974,45.56,438.489,99.628,99.892,253.272,44.6,773.966,97.529,57.698,0.451,0.17,0.372,0.103,0.474,0.372,0.108,0,0,0,0,181.612,0.96,858.003,2.099,41.373,438.995,0.474,0.17,0.372,0.108,0.024,0,0,0.005,0,0,0,0
Algeria,2011,DZA,36903374,482028679734,0,0,0,0,3.198,0,0,0,0.689,11.041,5.807,12586.607,0.964,50.72,463.396,99.024,99.779,267.97,49.65,795.987,96.935,57.7,0.979,0.5,0.976,0.211,1.026,0.976,0.221,0,0,0,0,192.228,1.07,833.58,2.089,41.391,464.488,1.026,0.5,0.976,0.221,0.047,0,0,0.01,0,0,0,0
Algeria,2012,DZA,37646165,498417638719,0,0,0,0,3.396,0,0,0,0.669,11.318,9.297,13485.354,1.019,56.78,506.532,98.92,99.789,298.741,55.72,784.438,97.073,58.853,1.003,0.62,1.08,0.198,1.071,1.08,0.211,0,0,0,0,204.395,1.06,781.676,1.847,40.267,507.672,1.071,0.62,1.08,0.211,0.069,0,0,0.014,0,0,0,0
Algeria,2013,DZA,38414176,512373332647,0,0,0,0,1.838,0,0,0,0.342,11.154,5.772,13978.61,1.048,59.56,536.629,99.449,99.939,321.215,58.66,793.389,97.946,59.822,0.253,0.33,0.551,0.047,0.326,0.551,0.061,0,0,0,0,213.576,0.9,753.438,1.503,39.775,536.977,0.326,0.33,0.551,0.061,0.073,0,0,0.014,0,0,0,0
Algeria,2014,DZA,39205035,531843509827,0,0,0,0,2.082,0,0,0,0.356,10.983,9.057,14937.195,1.101,64.02,584.925,99.611,99.89,360.918,63.35,801.724,98.569,61.635,0.491,0.25,0.389,0.084,0.646,0.389,0.11,0,0,0,0,221.925,0.67,799.807,1.042,37.899,585.613,0.646,0.25,0.389,0.11,0.153,0,0,0.026,0.003,0,0,0
Algeria,2015,DZA,40019528,551521739825,0,0,0,0,1.547,0,0,0,0.25,11.155,5.448,15430.422,1.12,68.62,616.92,99.68,99.909,379.225,67.67,814.111,98.3,61.415,0.367,0.14,0.203,0.059,0.562,0.32,0.091,0,0,0,0,236.148,0.95,781.827,1.38,38.244,617.518,0.562,0.22,0.32,0.091,0.147,0.06,0.087,0.024,0.048,0.02,0.029,0.008
Algeria,2016,DZA,40850719,569170418715,0,0,0,0,0.57,0,0,0,0.092,11.524,-0.085,15103.672,1.084,70.7,616.096,99.521,99.863,385.962,69.69,913.923,98.1,62.561,0.181,0.22,0.31,0.029,0.844,0.479,0.137,0,0,0,0,229.564,1.01,795.69,1.422,37.21,616.996,0.844,0.34,0.479,0.137,0.616,0.09,0.127,0.1,0.048,0.03,0.042,0.008
Argentina,2000,ARG,37213986,536480965694,0,0.39,0.438,0,7.513,1.78,1.702,2,1.076,14.003,-0.271,18907.803,1.312,53.8,600.276,60.463,85.985,322.967,48.88,363.812,54.934,46.263,79.376,28.58,32.12,11.37,97.837,39.537,14.015,17.158,6.18,6.945,2.458,269.796,3.14,480.871,3.529,38.646,703.635,80.679,29,32.592,11.557,0,0,0,0,0.097,0.03,0.034,0.014
Argentina,2001,ARG,37624817,514867255248,0,0.36,0.399,0,6.157,1.36,1.222,1.509,0.905,14.955,-2.316,18268.281,1.335,46.09,558.672,51.132,82.098,302.35,43.26,361.186,47.992,44.431,101.05,36.58,40.581,14.85,121.821,48.868,17.902,19.5,7.06,7.832,2.866,250.165,1.47,510.896,1.631,36.762,687.341,102.321,36.99,41.036,15.036,0,0,0,0,0.136,0.05,0.055,0.02
Argentina,2002,ARG,38029345,460558541367,0,0.53,0.627,0,4.586,0.81,0.302,0.958,0.704,14.642,-4.247,17306.4,1.429,42.39,535.508,50.112,82.217,294.376,40.71,351.17,48.126,45.196,98.024,35.78,42.298,15.05,115.83,49.888,17.783,15.948,5.82,6.88,2.448,236.546,0.87,503.277,1.028,36.317,658.151,99.882,36.38,43.007,15.335,0,0,0,0,0.201,0.07,0.083,0.031
Argentina,2003,ARG,38424283,503104157615,0,0.88,0.956,0,5.594,0.94,0.585,1.021,0.801,14.732,7.081,18341.469,1.401,49.74,582.639,54.024,83.435,336.29,47.75,399.114,51.863,48.157,92.1,33.8,36.711,13.189,115.68,45.976,16.565,20.616,7.57,8.222,2.952,240.754,1.05,501.183,1.14,34.476,704.758,95.064,34.76,37.754,13.613,0,0,0,0,0.212,0.08,0.087,0.03
Argentina,2004,ARG,38815915,550306327169,0,0.87,0.868,0,9.52,1.68,0.335,1.676,1.277,14.79,6.584,19351.779,1.365,60.99,638.637,60.832,85.674,368.091,55.21,436.458,55.067,49.38,82.554,30.46,30.381,11.075,106.787,39.168,14.326,21.325,7.87,7.85,2.861,261.026,4.1,477.13,4.089,35.017,751.157,85.461,31.4,31.319,11.465,0,0,0,0,0.196,0.07,0.07,0.026
Argentina,2005,ARG,39216786,601050418142,0,0.92,0.87,0,10.962,2.18,0.164,2.061,1.388,14.719,6.019,20306.785,1.325,63.67,676.376,60.208,85.629,392.89,55.7,443.752,52.671,49.74,91.979,34.22,32.359,11.645,113.512,39.792,14.371,18.476,6.87,6.496,2.339,272.524,5.79,457.862,5.475,34.502,796.367,95.036,35.21,33.296,12.032,0,0,0,0,0.193,0.07,0.066,0.024
Argentina,2006,ARG,39622113,652296814311,0,1.05,0.926,0,9.924,1.99,0.926,1.754,1.197,15.121,4.984,21100.816,1.282,66.57,703.27,58.688,84.832,406.505,56.4,448.323,49.722,49.035,101.645,38.02,33.518,12.261,125.745,41.312,15.168,20.644,7.72,6.806,2.49,286.841,8.18,458.608,7.211,34.6,836.059,105.101,39.14,34.506,12.678,0,0,0,0,0.186,0.07,0.062,0.022
Argentina,2007,ARG,40016767,714725198062,0,1.07,0.943,0,14.36,2.34,0.723,2.061,1.663,14.241,3.949,21717.797,1.216,73.92,757.522,65.116,87.741,427.122,60.18,435.972,53.013,49.472,83.032,31.22,27.502,9.617,105.835,34.884,12.259,19.293,7.25,6.387,2.235,316.039,11.4,444.434,10.042,36.606,869.076,86.543,32.35,28.497,10.024,0,0,0,0,0.164,0.06,0.053,0.019
Argentina,2008,ARG,40424151,747157417513,0,1.21,0.993,0,17.516,1.94,1.058,1.591,2.006,15.1,1.15,21746.203,1.177,82.07,767.493,67.32,87.894,431.887,65.41,428.483,53.654,49.46,82.321,31.2,25.593,9.427,105.71,32.68,12.106,19.509,7.39,6.062,2.234,318.089,14.72,439.67,12.074,36.428,879.072,86.201,32.45,26.618,9.872,0,0,0,0,0.111,0.04,0.033,0.013
Argentina,2009,ARG,40854832,705920838368,0,1.19,0.973,0,9.621,1.75,0.539,1.431,1.137,15.81,-3.062,20858.098,1.207,78.29,729.648,64.004,86.267,418.356,61.7,403.012,50.441,49.463,90.861,34.62,28.303,10.743,116.151,35.996,13.733,21.478,8.18,6.687,2.539,301.671,14.84,395.928,12.132,35.667,852.154,94.674,35.85,29.308,11.193,0,0,0,0,0.097,0.04,0.033,0.011
Argentina,2010,ARG,41288694,785785170150,5.923,1.38,1.095,0.676,13.472,3.01,0.427,2.389,1.538,15.594,3.534,21368.264,1.123,84.02,760.08,66.683,86.765,420.874,63.81,389.97,50.643,48.044,86.875,33.36,26.476,9.917,115.945,33.317,13.235,18.776,7.21,5.722,2.143,325.734,17.2,387.029,13.651,37.183,882.268,97.169,34.77,27.595,11.092,0,0,0,0,0.066,0.03,0.024,0.008
Argentina,2011,ARG,41730655,837742673804,8.673,1.39,1.073,0.962,14.619,2.91,0.591,2.247,1.621,15.436,2.846,21743.625,1.083,90.48,791.213,69.874,87.749,438.398,67.86,377.178,52.406,48.62,80.795,31.19,24.087,8.961,110.464,30.126,12.251,16.58,6.4,4.942,1.839,338.197,19.71,362.685,15.221,37.508,907.376,93.884,32.61,25.183,10.412,0.004,0,0,0,0.069,0.03,0.023,0.008
Argentina,2012,ARG,42161718,829147409948,10.397,1.45,1.066,1.107,13.669,2.64,0.624,1.941,1.456,15.474,4.051,22393.107,1.139,98.63,831.248,72.511,88.541,456.642,76.23,366.912,56.043,48.64,75.166,29.16,21.438,8.006,107.578,27.489,11.459,16.5,6.4,4.705,1.758,360.937,19.76,358.678,14.527,38.446,944.132,91.078,30.99,22.783,9.701,0.021,0.01,0.007,0.002,0.953,0.37,0.272,0.102
Argentina,2013,ARG,42582453,849088398588,11.902,1.53,1.097,1.186,14.939,2.38,0.545,1.707,1.489,14.855,6.918,23705.746,1.189,98.47,885.847,70.613,88.284,460.277,74.7,345.559,53.568,45.871,83.814,32.77,23.499,8.353,117.561,29.387,11.716,15.875,6.21,4.453,1.582,410.63,21.39,351.063,15.339,40.924,1009.449,101.686,34.77,24.934,10.134,0.039,0.02,0.014,0.004,1.159,0.45,0.323,0.116
Argentina,2014,ARG,43024071,827750786191,13.891,1.48,1.068,1.407,15.892,2.54,0.374,1.833,1.61,14.986,-1.629,23080.285,1.2,98.49,870.507,71.091,88.183,461.55,76.16,344.859,54.973,46.755,82.485,32.42,23.401,8.356,116.658,28.909,11.817,14.031,5.51,3.977,1.421,393.066,19.79,346.415,14.285,39.818,993.008,102.627,34.54,24.931,10.396,0.041,0.02,0.014,0.004,1.576,0.62,0.448,0.16
